Date,Open,High,Low,Close,Volume,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
1/17/2023,134.8300,137.2900,134.1300,135.9400,63650000.0000,0.0241,0.9015,0.0743,0.5608
1/18/2023,136.8200,138.6100,135.0300,135.2100,69670000.0000,0.0478,0.8719,0.0805,0.2436
1/19/2023,134.0800,136.2500,133.7700,135.2700,58280000.0000,0.0276,0.8250,0.1475,0.7244
1/20/2023,135.2800,138.0200,134.2200,137.8700,80220000.0000,0.0425,0.8816,0.0758,0.3426
1/23/2023,138.1200,143.3200,137.9000,141.1100,81760000.0000,0.0222,0.8896,0.0881,0.5641
1/24/2023,140.3000,143.1600,140.3000,142.5300,66440000.0000,0.0438,0.8341,0.1220,0.6312
1/25/2023,140.8900,142.4300,138.8100,141.8600,65800000.0000,0.0307,0.8635,0.1059,0.4301
1/26/2023,143.1700,144.2500,141.9000,143.9600,54110000.0000,0.0609,0.8362,0.1026,0.5189
1/27/2023,143.1500,147.2300,143.0800,145.9300,70560000.0000,0.0370,0.9020,0.0610,0.3045
1/30/2023,144.9600,145.5500,142.8500,143.0000,64020000.0000,0.0400,0.8931,0.0668,0.3511
1/31/2023,142.7000,144.3400,142.2800,144.2900,65870000.0000,0.0565,0.8645,0.0791,0.2923
2/1/2023,143.9700,146.6100,141.3200,145.4300,77660000.0000,0.0324,0.8856,0.0819,0.5118
2/2/2023,148.9000,151.1800,148.1700,150.8200,118340000.0000,0.0416,0.8781,0.0803,0.3336
2/3/2023,148.0300,157.3800,147.8300,154.5000,154360000.0000,0.0607,0.8576,0.0817,0.2549
2/6/2023,152.5700,153.1000,150.7800,151.7300,69860000.0000,0.0568,0.8688,0.0744,0.0338
2/7/2023,150.6400,155.2300,150.6400,154.6500,83320000.0000,0.0397,0.8522,0.1080,0.4454
2/8/2023,153.8800,154.5800,151.1700,151.9200,64120000.0000,0.0452,0.8469,0.1080,0.5498
2/9/2023,153.7700,154.3300,150.4200,150.8700,56010000.0000,0.0298,0.8562,0.1139,0.6005
2/10/2023,149.4600,151.3400,149.2200,151.0100,57450000.0000,0.0443,0.8450,0.1106,0.4940
2/13/2023,150.9500,154.2600,150.9200,153.8500,62200000.0000,0.0282,0.8621,0.1097,0.7237
2/14/2023,152.1200,153.7700,150.8600,153.2000,61710000.0000,0.0631,0.8496,0.0873,0.4118
2/15/2023,153.1100,155.5000,152.8800,155.3300,65670000.0000,0.0377,0.8631,0.0991,0.6587
2/16/2023,153.5100,156.3300,153.3500,153.7100,68170000.0000,0.0276,0.8883,0.0841,0.6074
2/17/2023,152.3500,153.0000,150.8500,152.5500,59140000.0000,0.0331,0.8733,0.0936,0.5927
2/21/2023,150.2000,151.3000,148.4000,148.4800,58870000.0000,0.0630,0.8229,0.1142,0.1632
2/22/2023,148.8700,149.9500,147.1600,148.9100,51010000.0000,0.0366,0.8586,0.1047,0.4751
2/23/2023,150.0900,150.3400,147.2400,149.4000,48390000.0000,0.0122,0.8927,0.0951,0.7048
2/24/2023,147.1100,147.1900,145.7200,146.7100,55470000.0000,0.0309,0.8555,0.1135,0.6464
2/27/2023,147.7100,149.1700,147.4500,147.9200,45000000.0000,0.0289,0.8594,0.1117,0.5572
2/28/2023,147.0500,149.0800,146.8300,147.4100,50550000.0000,0.0434,0.8741,0.0825,0.3021
3/1/2023,146.8300,147.2300,145.0100,145.3100,55480000.0000,0.0430,0.8655,0.0916,0.4623
3/2/2023,144.3800,146.7100,143.9000,145.9100,52280000.0000,0.0450,0.8764,0.0786,0.3912
3/3/2023,148.0400,151.1100,147.3300,151.0300,70730000.0000,0.0369,0.8992,0.0640,0.3126
3/6/2023,153.7900,156.3000,153.4600,153.8300,87560000.0000,0.0275,0.8885,0.0839,0.5418
3/7/2023,153.7000,154.0300,151.1300,151.6000,56180000.0000,0.0193,0.8555,0.1250,0.6801
3/8/2023,152.8100,153.4700,151.8300,152.8700,47200000.0000,0.0293,0.8895,0.0812,0.3088
3/9/2023,153.5600,154.5400,150.2300,150.5900,53830000.0000,0.0400,0.8705,0.0896,0.4629
3/10/2023,150.2100,150.9400,147.6100,148.5000,68570000.0000,0.0710,0.8458,0.0832,0.1716
3/13/2023,147.8000,153.1400,147.7000,150.4700,84460000.0000,0.0329,0.8559,0.1112,0.5145
3/14/2023,151.2800,153.4000,150.1000,152.5900,73700000.0000,0.0366,0.8885,0.0747,0.4771
3/15/2023,151.1900,153.2400,149.9200,152.9900,77170000.0000,0.0542,0.8754,0.0705,0.1191
3/16/2023,152.1600,156.4600,151.6400,155.8500,76250000.0000,0.0331,0.8392,0.1277,0.6977
3/17/2023,156.0800,156.7400,154.2800,155.0000,98940000.0000,0.0267,0.8137,0.1596,0.6039
3/20/2023,155.0700,157.8200,154.1500,157.4000,73640000.0000,0.0165,0.8888,0.0945,0.7847
3/21/2023,157.3200,159.4000,156.5400,159.2800,73940000.0000,0.0261,0.9005,0.0732,0.5392
3/22/2023,159.3000,162.1400,157.8100,157.8300,75700000.0000,0.0397,0.8891,0.0711,0.4902
3/23/2023,158.8300,161.5500,157.6800,158.9300,67620000.0000,0.0461,0.8507,0.1033,0.4170
3/24/2023,158.8600,160.3400,157.8500,160.2500,59260000.0000,0.0179,0.8676,0.1145,0.6915
3/27/2023,159.9400,160.7700,157.8700,158.2800,52390000.0000,0.0358,0.8669,0.0971,0.6962
3/28/2023,157.9700,158.4900,155.9800,157.6500,45990000.0000,0.0458,0.8677,0.0867,0.5573
3/29/2023,159.3700,161.0500,159.3500,160.7700,51310000.0000,0.0414,0.8611,0.0974,0.5034
3/30/2023,161.5300,162.4700,161.2700,162.3600,49500000.0000,0.0362,0.8747,0.0891,0.4728
3/31/2023,162.4400,165.0000,161.9100,164.9000,68750000.0000,0.0361,0.8751,0.0888,0.6183
4/3/2023,164.2700,166.2900,164.2200,166.1700,56980000.0000,0.0444,0.8703,0.0851,0.3821
4/4/2023,166.6000,166.8400,165.1100,165.6300,46280000.0000,0.0380,0.8559,0.1060,0.5688
4/5/2023,164.7400,165.0500,161.8000,163.7600,51510000.0000,0.0432,0.8746,0.0821,0.4039
4/6/2023,162.4300,164.9600,162.0000,164.6600,45390000.0000,0.0168,0.9027,0.0804,0.6429
4/10/2023,161.4200,162.0300,160.0800,162.0300,47720000.0000,0.0560,0.8578,0.0861,0.3277
4/11/2023,162.3500,162.3600,160.5100,160.8000,47640000.0000,0.0419,0.8646,0.0934,0.5621
4/12/2023,161.2200,162.0600,159.7800,160.1000,50130000.0000,0.0646,0.8535,0.0820,0.2945
4/13/2023,161.6300,165.8000,161.4200,165.5600,68450000.0000,0.0355,0.8819,0.0827,0.4977
4/14/2023,164.5900,166.3200,163.8200,165.2100,49390000.0000,0.0267,0.8607,0.1127,0.5335
4/17/2023,165.0900,165.3900,164.0300,165.2300,41520000.0000,0.0196,0.9056,0.0748,0.6022
4/18/2023,166.1000,167.4100,165.6500,166.4700,49920000.0000,0.0398,0.8809,0.0793,0.4532
4/19/2023,165.8000,168.1600,165.5400,167.6300,47720000.0000,0.0350,0.8448,0.1203,0.6664
4/20/2023,166.0900,167.8700,165.5600,166.6500,52460000.0000,0.0283,0.8674,0.1043,0.6627
4/21/2023,165.0500,166.4500,164.4900,165.0200,58340000.0000,0.0235,0.8665,0.1100,0.6134
4/24/2023,165.0000,165.6000,163.8900,165.3300,41950000.0000,0.0591,0.8515,0.0895,0.3647
4/25/2023,165.1900,166.3000,163.7300,163.7700,48710000.0000,0.0313,0.8739,0.0948,0.5895
4/26/2023,163.0500,165.2800,162.8000,163.7600,45500000.0000,0.0217,0.8729,0.1054,0.8392
4/27/2023,165.1900,168.5600,165.1900,168.4100,64900000.0000,0.0386,0.8602,0.1011,0.7501
4/28/2023,168.4900,169.8500,167.8800,169.6800,55280000.0000,0.0293,0.8834,0.0875,0.5099
5/1/2023,169.2800,170.4500,168.6400,169.5900,52470000.0000,0.0517,0.8736,0.0747,0.2540
5/2/2023,170.0900,170.3500,167.5400,168.5400,48430000.0000,0.0430,0.8597,0.0973,0.2698
5/3/2023,169.5000,170.9200,167.1600,167.4500,65140000.0000,0.0307,0.8601,0.1093,0.6854
5/4/2023,164.8900,167.0400,164.3100,165.7900,81240000.0000,0.0374,0.8662,0.0964,0.5336
5/5/2023,170.9800,174.3000,170.7600,173.5700,113450000.0000,0.0339,0.8616,0.1044,0.6282
5/8/2023,172.4800,173.8500,172.1100,173.5000,55960000.0000,0.0345,0.8525,0.1128,0.6022
5/9/2023,173.0500,173.5400,171.6000,171.7700,45330000.0000,0.0249,0.8414,0.1336,0.9133
5/10/2023,173.0200,174.0300,171.9000,173.5500,53720000.0000,0.0425,0.8674,0.0899,0.5593
5/11/2023,173.8500,174.5900,172.1700,173.7500,49510000.0000,0.0350,0.8624,0.1028,0.4730
5/12/2023,173.6200,174.0600,171.0000,172.5700,45530000.0000,0.0428,0.8828,0.0744,0.3802
5/15/2023,173.1600,173.2100,171.4700,172.0700,37270000.0000,0.0297,0.8679,0.1025,0.6574
5/16/2023,171.9900,173.1400,171.8000,172.0700,42110000.0000,0.0500,0.8529,0.0973,0.3617
5/17/2023,171.7100,172.9300,170.4200,172.6900,57950000.0000,0.0173,0.8818,0.1010,0.5568
