date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
2021-08-19,0.053076923,0.8546923,0.09219231,0.25434616
2021-08-20,0.034846153,0.8951538,0.07007692,0.41623077
2021-08-23,0.026933333,0.8851333,0.08793333,0.44266668
2021-08-24,0.0338,0.84735,0.11895,0.62425
2021-08-25,0.037923075,0.86103845,0.10103846,0.5638846
2021-08-26,0.01976923,0.88392305,0.096384615,0.7426154
2021-08-27,0.031903226,0.85287094,0.11522581,0.5036452
2021-08-30,0.022314286,0.8926,0.085028574,0.56614286
2021-08-31,0.03127027,0.87054056,0.09816216,0.5194054
2021-09-01,0.034967743,0.8711613,0.09393548,0.5074839
2021-09-02,0.032,0.8847857,0.083238095,0.5205714
2021-09-03,0.042117648,0.8767647,0.08105882,0.13447058
2021-09-07,0.016026316,0.9142631,0.06968421,0.5834737
2021-09-08,0.042,0.88558066,0.072451614,0.287
2021-09-09,0.01973913,0.8685652,0.11173913,0.78986955
2021-09-10,0.041231886,0.8824928,0.0762029,0.45936233
2021-09-13,0.03916,0.89262,0.06826,0.15268
2021-09-14,0.031523366,0.9068411,0.06164486,0.3412056
2021-09-15,0.040130436,0.86832607,0.09154348,0.35852173
2021-09-16,0.04746154,0.8578077,0.09476923,0.39226922
2021-09-17,0.036413793,0.87131035,0.092275865,0.43217242
2021-09-20,0.047194444,0.8332222,0.119666666,0.304
2021-09-21,0.031148149,0.86225927,0.10662963,0.49007407
2021-09-22,0.049,0.86971873,0.08125,0.20371875
2021-09-23,0.0375,0.874475,0.08805,0.277775
2021-09-24,0.0182,0.8533,0.1283,0.6919
2021-09-27,0.0567,0.83825,0.1053,0.6027
2021-09-28,0.04332,0.85384,0.10272,0.4648
2021-09-29,0.045761906,0.87390476,0.08033333,0.19114286
2021-09-30,0.041,0.85242856,0.10657143,0.48964286
2021-10-01,0.026947368,0.8903158,0.08257895,0.66273683
2021-10-04,0.040785715,0.85264283,0.10653572,0.5130714
2021-10-05,0.025272727,0.9041212,0.07051515,0.38681817
2021-10-06,0.050705884,0.86041176,0.08870588,0.35111764
2021-10-07,0.03257895,0.8998947,0.06736842,0.4753684
2021-10-08,0.0403,0.87825,0.08155,0.4641
